Week No,TP Actual Bridgend,Bridgend Gas (kWh),Conversion factor Gas,CO₂e Gas,Bridgend Electricity (kWh),Conversion factor Electricity ,CO₂e Electricity,CO₂e Total,Intensity Total
,,,,,,,,,
1,55630,158294,0.20264,32076.69616,79670,0.20705,16495.6735,48572.36966,0.87
2,397899.9443197501,71601.54868583138,0.20264,14509.33782569687,37970,0.20705,7861.6885,22371.02632569687,0.06
3,460755.7598000001,151182.9697580249,0.20264,30635.716991766163,75410,0.20705,15613.640500000001,46249.35749176616,0.10
4,485785,144137.11062637361,0.20264,29207.94409732835,78800,0.20705,16315.54,45523.48409732835,0.09
5,430528,138926.99222198324,0.20264,28152.16570386268,76310,0.20705,15799.9855,43952.15120386268,0.10
6,378465.52492511,136967.45481270872,0.20264,27755.085043247294,70560,0.20705,14609.448,42364.5330432473,0.11
7,368795.01294583,136655.13948858192,0.20264,27691.79746596624,68560,0.20705,14195.348,41887.14546596624,0.11
8,357203.3,127355.9,0.20264,25807.399575999996,64030,0.20705,13257.4115,39064.811076,0.11
9,403850,139019.7,0.20264,28170.952008,69980,0.20705,14489.359,42660.311008000004,0.11
10,404961.6,114144.6,0.20264,23130.261744,65240,0.20705,13507.942000000001,36638.203744,0.09
11,452231,121085.2,0.20264,24536.704928,62670,0.20705,12975.8235,37512.528428,0.08
12,450879,117643.9,0.20264,23839.359895999998,68290,0.20705,14139.444500000001,37978.804396,0.08
13,499266,117643.9,0.20264,23839.359895999998,68290,0.20705,14139.444500000001,37978.804396,0.08
14,385781,121642.7,0.20264,24649.676728,60250,0.20705,12474.7625,37124.439228,0.10
15,436492,115888.7,0.20264,23483.686167999997,57250,0.20705,11853.612500000001,35337.298667999996,0.08
16,519041,108195.2,0.20264,21924.675327999998,60130,0.20705,12449.916500000001,34374.591828,0.07
17,538526,108195.2,0.20264,21924.675327999998,60130,0.20705,12449.916500000001,34374.591828,0.06
18,453100,111429.3,0.20264,22580.033352,51170,0.20705,10594.748500000002,33174.781852,0.07
19,555907.7,107753.7,0.20264,21835.209767999997,55670,0.20705,11526.4735,33361.68326799999,0.06
20,621172,85499,0.20264,17325.517359999998,45890,0.20705,9501.524500000001,26827.041859999998,0.04
21,641543,110184.9,0.20264,22327.868135999997,52160,0.20705,10799.728000000001,33127.596136,0.05
22,406459,78860.5,0.20264,15980.29172,35180,0.20705,7284.019,23264.31072,0.06
23,557496,100853.5,0.20264,20436.95324,50930,0.20705,10545.0565,30982.00974,0.06
24,560463,106793.6,0.20264,21640.655104,51070,0.20705,10574.0435,32214.698604,0.06
25,574698,104533.2,0.20264,21182.607647999997,52630,0.20705,10897.041500000001,32079.649147999997,0.06
26,624459,100265.2,0.20264,20317.740127999998,43000,0.20705,8903.15,29220.890128,0.05
27,624459,88140.2,0.20264,17860.730128,43610,0.20705,9029.4505,26890.180628000002,0.04
28,,,0.20264,0,,0.20705,0,0,
29,,,0.20264,0,,0.20705,0,0,
30,,,0.20264,0,,0.20705,0,0,
31,,,0.20264,0,,0.20705,0,0,
32,,,0.20264,0,,0.20705,0,0,
33,,,0.20264,0,,0.20705,0,0,
34,,,0.20264,0,,0.20705,0,0,
35,,,0.20264,0,,0.20705,0,0,
36,,,0.20264,0,,0.20705,0,0,
37,,,0.20264,0,,0.20705,0,0,
38,,,0.20264,0,,0.20705,0,0,
39,,,0.20264,0,,0.20705,0,0,
40,,,0.20264,0,,0.20705,0,0,
41,,,0.20264,0,,0.20705,0,0,
42,,,,,,,,,
