Week No,TP Actual Maybole,Maybole Gas (kWh)*,Conversion factor Gas,CO₂e Gas,Maybole Electricity (kWh),Conversion factor Electricity ,CO₂e Electricity,CO₂e Total,Intensity Total
,,,,,,,,,
1,,0,0.20264,0,,0.20705,,,
2,,0,0.20264,0,,0.20705,,,
3,,0,0.20264,0,,0.20705,,,
4,,0,0.20264,0,,0.20705,,,
5,,0,0.20264,0,,0.20705,,,
6,138788.35116353002,162951.96922199999,0.20264,33020.58704314607,2177,0.20705,450.74785,33471.33489314607,0.24
7,119121.9,185437.81241999994,0.20264,37577.118308788784,2419,0.20705,500.85395000000005,38077.97225878878,0.32
8,108141,156475.72457999998,0.20264,31708.240828891194,2085,0.20705,431.69925,32139.940078891195,0.30
9,180432.1,210578.51367,0.20264,42671.6300100888,2482,0.20705,513.8981,43185.528110088795,0.24
10,142643,178679.99192399997,0.20264,36207.71356347935,2416,0.20705,500.23280000000005,36707.94636347935,0.26
11,175319,239017.67492399993,0.20264,48434.54164659934,2609,0.20705,540.19345,48974.73509659934,0.28
12,145385,186926.14193399998,0.20264,37878.71340150575,2422,0.20705,501.47510000000005,38380.188501505756,0.26
13,160204,216491.60660399994,0.20264,43869.85916223455,2182,0.20705,451.78310000000005,44321.64226223455,0.28
14,96655,180852.14851199999,0.20264,36647.879374471675,1907,0.20705,394.84435,37042.723724471674,0.38
15,163958,249596.88200999994,0.20264,50578.31217050638,2487,0.20705,514.93335,51093.24552050638,0.31
16,151133,217336.33416599996,0.20264,44041.03475539823,2327,0.20705,481.80535000000003,44522.84010539823,0.29
17,172253,196057.24462799996,0.20264,39729.040051417905,1985,0.20705,410.99425,40140.03430141791,0.23
18,91564.97,205389.47293199995,0.20264,41620.122794940464,1852,0.20705,383.45660000000004,42003.57939494046,0.46
19,219988,243844.68956399994,0.20264,49412.68789324894,2712,0.20705,561.5196000000001,49974.20749324894,0.23
20,226639,219870.51685199994,0.20264,44554.56153488927,2381,0.20705,492.98605000000003,45047.54758488927,0.20
21,104220,230369.27369399994,0.20264,46682.02962135214,2292,0.20705,474.5586,47156.58822135214,0.45
22,110541,186644.56608,0.20264,37821.654870451195,2087,0.20705,432.11335,38253.768220451195,0.35
23,151399,188374.24632599996,0.20264,38172.15727550063,1967,0.20705,407.26735,38579.42462550063,0.25
24,177306,185478.03754199995,0.20264,37585.26952751086,1830,0.20705,378.9015,37964.17102751086,0.21
25,195458,231334.67662199997,0.20264,46877.65887068207,2316,0.20705,479.5278,47357.18667068207,0.24
26,195458,148269.79969199997,0.20264,30045.392209586873,2176,0.20705,450.54080000000005,30495.93300958687,0.16
27,,0,0.20264,0,,0.20705,,,
28,,0,0.20264,0,,0.20705,,,
29,,0,0.20264,0,,0.20705,,,
30,,0,0.20264,0,,0.20705,,,
31,,0,0.20264,0,,0.20705,,,
32,,0,0.20264,0,,0.20705,,,
33,,0,0.20264,0,,0.20705,,,
34,,0,0.20264,0,,0.20705,,,
35,,0,0.20264,0,,0.20705,,,
36,,0,0.20264,0,,0.20705,,,
37,,0,0.20264,0,,0.20705,,,
38,,0,0.20264,0,,0.20705,,,
39,,0,0.20264,0,,0.20705,,,
40,,0,0.20264,0,,0.20705,,,
41,,0,0.20264,0,,0.20705,,,
42,,0,,,,,,,
